"time","c","der(c)","B","M","cycles","tau_h"
152400,7343.966928301727,0.00271801126731807,1.05,5.25478,4.895977952201152,13.16756943522715
153000,7345.587423483854,0.002683825949154016,1.05,5.25478,4.897058282322569,13.16756943522715
153600,7347.187542742098,0.002650070473329779,1.05,5.25478,4.898125028494732,13.16756943522715
154200,7348.767543949805,0.002616739399852486,1.05,5.25478,4.899178362633203,13.16756943522715
154800,7350.327652736459,0.002583827968932746,1.05,5.25478,4.900218435157639,13.16756943522715
155400,7351.868138134776,0.002551330505164005,1.05,5.25478,4.901245425423184,13.16756943522715
156000,7353.389248083701,0.00251924177812547,1.05,5.25478,4.902259498722468,13.16756943522715
156600,7354.891226578773,0.002487556640584826,1.05,5.25478,4.903260817719182,13.16756943522715
157200,7356.374314643705,0.002456270008002266,1.05,5.25478,4.904249543095803,13.16756943522715
157800,7357.838750380311,0.002425376857477113,1.05,5.25478,4.905225833586874,13.16756943522715
158400,7359.284769018412,0.002394872226695188,1.05,5.25478,4.906189846012275,13.16756943522715
159000,7360.712602965752,0.002364751212875672,1.05,5.25478,4.907141735310502,13.16756943522715
159600,7362.122481857914,0.00233500897171818,1.05,5.25478,4.908081654571943,13.16756943522715
160200,7363.514632608229,0.002305640716349826,1.05,5.25478,4.909009755072153,13.16756943522715
160800,7364.8892794577,0.002276641716272152,1.05,5.25478,4.909926186305133,13.16756943522715
161400,7366.246627632801,0.00224800764210946,1.05,5.25478,4.910831085088534,13.16756943522715
162000,7367.586897210287,0.002219733851210658,1.05,5.25478,4.911724598140191,13.16756943522715
162600,7368.910309507905,0.00219181567474503,1.05,5.25478,4.91260687300527,13.16756943522715
163200,7370.217076770457,0.002164248635281146,1.05,5.25478,4.913478051180304,13.16756943522715
163800,7371.507408653873,0.002137028310001369,1.05,5.25478,4.914338272435915,13.16756943522715
164400,7372.781512268556,0.002110150329787448,1.05,5.25478,4.915187674845704,13.16756943522715
165000,7374.039592222714,0.002083610378306494,1.05,5.25478,4.916026394815143,13.16756943522715
165600,7375.281850665699,0.002057404191096685,1.05,5.25478,4.916854567110466,13.16756943522715
166200,7376.508487331333,0.00203152755465313,1.05,5.25478,4.917672324887555,13.16756943522715
166800,7377.719699581252,0.002005976305513741,1.05,5.25478,4.918479799720835,13.16756943522715
167400,7378.915682448236,0.001980746329344984,1.05,5.25478,4.919277121632158,13.16756943522715
168000,7380.096620911863,0.001955833723891683,1.05,5.25478,4.920064413941242,13.16756943522715
168600,7381.262696111962,0.00193123466790048,1.05,5.25478,4.920841797407975,13.16756943522715
169200,7382.414104846988,0.00190694500978987,1.05,5.25478,4.921609403231326,13.16756943522715
169800,7383.551031759461,0.001882960854415105,1.05,5.25478,4.922367354506307,13.16756943522715
170400,7384.673659238988,0.001859278354157996,1.05,5.25478,4.923115772825992,13.16756943522715
171000,7385.782167459966,0.001835893708131534,1.05,5.25478,4.923854778306644,13.16756943522715
171600,7386.876734419273,0.001812803161384782,1.05,5.25478,4.924584489612848,13.16756943522715
172200,7387.957535973967,0.001790003004107584,1.05,5.25478,4.925305023982644,13.16756943522715
172800,7389.024745878985,0.001767489570835296,1.05,5.25478,4.926016497252657,13.16756943522715
173400,7390.078535824841,0.001745259239653478,1.05,5.25478,4.926719023883227,13.16756943522715
