"time","c","der(c)","B","SR","S_sat","S_sat_mean","T_basin","c_target","cycles","excursion"
214800,127.3255149294009,2.905726350387056e-05,0.673443531557921,1.048302347746395,121.4587711294561,129.4676747153585,26.78606195156731,129.4676747153585,7.073639718300048,0.0483023477463953
215400,127.3428777499462,2.882174603450977e-05,0.673443531557921,1.051906071515487,121.0591717247934,129.4676747153585,26.6220489619217,129.4676747153585,7.074604319441454,0.0519060715154871
216000,127.3600998180086,2.858813779806837e-05,0.673443531557921,1.05538822303829,120.6760669086866,129.4676747153585,26.46446609406727,129.4676747153585,7.07556110100048,0.0553882230382905
216600,127.3771822764579,2.835642329212533e-05,0.673443531557921,1.058740700284309,120.3100837081759,129.4676747153585,26.31361331594938,129.4676747153585,7.076510126469884,0.05874070028430856
217200,127.3941262592001,2.812658713584455e-05,0.673443531557921,1.061955626759529,119.9618167172699,129.4676747153585,26.16977778440511,129.4676747153585,7.077451458844449,0.0619556267595287
217800,127.4109328912733,2.789861406867828e-05,0.673443531557921,1.065025380860474,119.6318277300896,129.4676747153585,26.03323329854383,129.4676747153585,7.078385160626296,0.06502538086047416
218400,127.4276032889433,2.767248894907425e-05,0.673443531557921,1.067942624948358,119.3206454280306,129.4676747153585,25.90423977855504,129.4676747153585,7.079311293830184,0.06794262494835834
219000,127.4441385091226,2.744819744057253e-05,0.673443531557921,1.070700333527864,119.0287651160108,129.4676747153585,25.78304277093557,129.4676747153585,7.080229917173477,0.07070033352786398
219600,127.4605396887462,2.722572412125118e-05,0.673443531557921,1.073291822357468,118.7566485029031,129.4676747153585,25.66987298107781,129.4676747153585,7.081141093819235,0.07329182235746834
220200,127.4768079182386,2.700505420008142e-05,0.673443531557921,1.075710774476303,118.5047235213379,129.4676747153585,25.56494583410889,129.4676747153585,7.082044884346588,0.07571077447630348
220800,127.4929442783391,2.67861730174036e-05,0.673443531557921,1.077951266550048,118.273384182178,129.4676747153585,25.46846106481675,129.4676747153585,7.082941348796619,0.07795126655004792
221400,127.5089498414089,2.656906602720852e-05,0.673443531557921,1.08000779368312,118.0629904591417,129.4676747153585,25.38060233744357,129.4676747153585,7.083830546744939,0.08000779368312005
222000,127.5248256715235,2.635371879587439e-05,0.673443531557921,1.081875292799891,117.8738681992537,129.4676747153585,25.30153689607046,129.4676747153585,7.084712537306859,0.08187529279989136
222600,127.5405728245664,2.614011700089918e-05,0.673443531557921,1.083549164428589,117.7063090550442,129.4676747153585,25.23141524625887,129.4676747153585,7.085587379142577,0.08354916442858884
223200,127.5561923483223,2.592824642963876e-05,0.673443531557921,1.085025292720671,117.5605704347027,129.4676747153585,25.17037086855466,129.4676747153585,7.086455130462352,0.08502529272067094
223800,127.5716852825705,2.571809297803924e-05,0.673443531557921,1.086300063549835,117.4368754667002,129.4676747153585,25.11851996440033,129.4676747153585,7.087315849031694,0.08630006354983522
224400,127.5870526591778,2.550964264937164e-05,0.673443531557921,1.087370380547998,117.3354129757316,129.4676747153585,25.07596123493896,129.4676747153585,7.088169592176545,0.08737038054799817
225000,127.6022955021921,2.530288155296859e-05,0.673443531557921,1.088233678950497,117.2563374672001,129.4676747153585,25.04277569313095,129.4676747153585,7.08901641678845,0.08823367895049672
225600,127.6174148279356,2.509779590295835e-05,0.673443531557921,1.088887937139243,117.199769117854,129.4676747153585,25.01902650954127,129.4676747153585,7.089856379329754,0.08888793713924259
226200,127.6324116450979,2.489437201699928e-05,0.673443531557921,1.089331685790498,117.1657937705893,129.4676747153585,25.00475889209071,129.4676747153585,7.090689535838773,0.08933168579049844
226800,127.6472869548296,2.469259631501387e-05,0.673443531557921,1.089564014552906,117.1544629318624,129.4676747153585,25,129.4676747153585,7.091515941934979,0.08956401455290597
227400,127.6620417508353,2.449245531792656e-05,0.673443531557921,1.089584576201461,117.1657937705893,129.4676747153585,25.00475889209071,129.4676747153585,7.092335652824182,0.08958457620146087
228000,127.6766770194667,2.429393564639611e-05,0.673443531557921,1.089393588233756,117.199769117854,129.4676747153585,25.01902650954127,129.4676747153585,7.093148723303707,0.08939358823375576
228600,127.6911937398166,2.409702401954974e-05,0.673443531557921,1.088991831895955,117.2563374672001,129.4676747153585,25.04277569313095,129.4676747153585,7.093955207767588,0.0889918318959555
229200,127.7055928838112,2.39017072537203e-05,0.673443531557921,1.088380648647178,117.3354129757316,129.4676747153585,25.07596123493896,129.4676747153585,7.094755160211736,0.08838064864717765
229800,127.7198754163043,2.370797226118015e-05,0.673443531557921,1.087561934092157,117.4368754667002,129.4676747153585,25.11851996440033,129.4676747153585,7.095548634239126,0.08756193409215718
230400,127.7340422951696,2.351580604887602e-05,0.673443531557921,1.086538129432756,117.5605704347027,129.4676747153585,25.17037086855466,129.4676747153585,7.096335683064979,0.08653812943275607
231000,127.7480944185277,2.332519643427929e-05,0.673443531557921,1.085312210059935,117.7063090550442,129.4676747153585,25.23141524625887,129.4676747153585,7.097116356584873,0.08531221005993483
231600,127.7620321803417,2.313613807348986e-05,0.673443531557921,1.083887668506585,117.8738681992537,129.4676747153585,25.30153689607046,129.4676747153585,7.097890676685648,0.08388766850658524
232200,127.7758569865051,2.29486118963041e-05,0.673443531557921,1.082268511830765,118.0629904591417,129.4676747153585,25.38060233744357,129.4676747153585,7.098658721472508,0.08226851183076511
232800,127.7895697539329,2.276260546525861e-05,0.673443531557921,1.080459231276389,118.2733841821778,129.4676747153585,25.46846106481675,129.4676747153585,7.099420541885161,0.08045923127638899
233400,127.8031713922362,2.257810644195786e-05,0.673443531557921,1.078464786842223,118.5047235213379,129.4676747153585,25.56494583410889,129.4676747153585,7.100176188457566,0.0784647868422228
234000,127.8166628037966,2.239510258607396e-05,0.673443531557921,1.076290585959673,118.7566485029031,129.4676747153585,25.66987298107781,129.4676747153585,7.100925711322033,0.07629058595967342
234600,127.8300448838396,2.221358175434659e-05,0.673443531557921,1.073942460540951,119.0287651160108,129.4676747153585,25.78304277093557,129.4676747153585,7.101669160213311,0.0739424605409511
235200,127.8433185205084,2.203353189958477e-05,0.673443531557921,1.071426642572247,119.3206454280306,129.4676747153585,25.90423977855504,129.4676747153585,7.102406584472686,0.07142664257224718
235800,127.8564845949375,2.185494106966331e-05,0.673443531557921,1.068749738434191,119.6318277300896,129.4676747153585,26.03323329854382,129.4676747153585,7.103138033052081,0.06874973843419085
236400,127.8695439813265,2.167779740652833e-05,0.673443531557921,1.06591870213748,119.9618167172698,129.4676747153585,26.16977778440511,129.4676747153585,7.103863554518139,0.0659187021374803
237000,127.8824975470139,2.15020891451934e-05,0.673443531557921,1.062940807665014,120.3100837081759,129.4676747153585,26.31361331594938,129.4676747153585,7.104583197056326,0.06294080766501353
237600,127.8953461525505,2.132780461274024e-05,0.673443531557921,1.059823620613412,120.6760669086865,129.4676747153585,26.46446609406726,129.4676747153585,7.105297008475028,0.05982362061341218
238200,127.9080906517735,2.11549322273217e-05,0.673443531557921,1.056574969326156,121.0591717247934,129.4676747153585,26.6220489619217,129.4676747153585,7.106005036209637,0.05657496932615613
238800,127.9207318918798,2.098346049715786e-05,0.673443531557921,1.053202915708214,121.4587711294561,129.4676747153585,26.7860619515673,129.4676747153585,7.106707327326656,0.05320291570821434
239400,127.9332707135001,2.081337801954049e-05,0.673443531557921,1.04971572590767,121.8742060883946,129.4676747153585,26.9561928549564,129.4676747153585,7.107403928527781,0.04971572590766971
240000,127.9457079507722,2.064467347983026e-05,0.673443531557921,1.046121841043928,122.3047860496773,129.4676747153585,27.13211781824476,129.4676747153585,7.108094886154009,0.04612184104392836
240600,127.9580444314151,2.047733565045775e-05,0.673443531557921,1.042429848154539,122.74978950185,129.4676747153585,27.31350195826588,129.4676747153585,7.108780246189727,0.04242984815453865
241200,127.9702809768025,2.031135338992328e-05,0.673443531557921,1.038648451523765,123.2084646051913,129.4676747153585,27.5,129.4676747153585,7.109460054266805,0.03864845152376462
241800,127.9824184020364,2.014671564179963e-05,0.673443531557921,1.034786444545879,123.6800299004711,129.4676747153585,27.69125693382482,129.4676747153585,7.11013435566869,0.03478644454587854
242400,127.9944575160211,1.998341143372926e-05,0.673443531557921,1.030852682265041,124.1636750993219,129.4676747153585,27.8869086912965,129.4676747153585,7.110803195334507,0.03085268226504145
243000,128.0063991215367,1.982142987642447e-05,0.673443531557921,1.026856054721533,124.6585619600305,129.4676747153585,28.08658283817455,129.4676747153585,7.111466617863148,0.02685605472153285
243600,128.0182439406623,1.966076117526398e-05,0.673443531557921,1.022805460625044,125.1638252521935,129.4676747153585,28.28989928337166,129.4676747153585,7.112124663370126,0.02280546062504363
244200,128.0299925057215,1.95013981095596e-05,0.673443531557921,1.018709781795705,125.6785738132797,129.4676747153585,28.49647100247863,129.4676747153585,7.112777361428972,0.01870978179570493
